id,token_index,token,ezafe,ambiguous
wiki-5961081-0095,11,۱۹۹۴,,
wiki-5961081-0095,12,),,
wiki-5961081-0095,13,بازیکن,,
wiki-5961081-0095,14,فوتبال,,
wiki-5961081-0095,15,اهل,,
wiki-5961081-0095,16,بریتانیا,,
wiki-5961081-0095,17,است,,
wiki-5961081-0095,18,.,,
wiki-5808165-0026,,آوینیه-له-سان-کلود ۷٫۸۳ کیلومتر مربع مساحت دارد.,,
wiki-5808165-0026,0,آوینیه-له-سان-کلود,,
wiki-5808165-0026,1,۷٫۸۳,,
wiki-5808165-0026,2,کیلومتر,,
wiki-5808165-0026,3,مربع,,
wiki-5808165-0026,4,مساحت,,
wiki-5808165-0026,5,دارد,,
wiki-5808165-0026,6,.,,
wiki-646875-0066,,واژه بوم در معانی زیر بکار می‌رود:,,
wiki-646875-0066,0,واژه,,
wiki-646875-0066,1,بوم,,
wiki-646875-0066,2,در,,
wiki-646875-0066,3,معانی,,
wiki-646875-0066,4,زیر,,
wiki-646875-0066,5,بکار,,
wiki-646875-0066,6,می‌رود,,
wiki-646875-0066,7,:,,
wiki-6052023-0040,,این گونه را می‌توان در تعدادی از دریاچه‌ها و رودخانه‌های ژاپن و شمال اروپا یافت.,,
wiki-6052023-0040,0,این,,
wiki-6052023-0040,1,گونه,,
wiki-6052023-0040,2,را,,
wiki-6052023-0040,3,می‌توان,,
wiki-6052023-0040,4,در,,
wiki-6052023-0040,5,تعدادی,,
wiki-6052023-0040,6,از,,
wiki-6052023-0040,7,دریاچه‌ها,,
wiki-6052023-0040,8,و,,
wiki-6052023-0040,9,رودخانه‌های,,
wiki-6052023-0040,10,ژاپن,,
wiki-6052023-0040,11,و,,
wiki-6052023-0040,12,شمال,,
wiki-6052023-0040,13,اروپا,,
wiki-6052023-0040,14,یافت,,
wiki-6052023-0040,15,.,,
wiki-476619-0162,,کمدره، روستایی است از توابع بخش دشت‌سر شهرستان آمل در استان مازندران ایران.,,
wiki-476619-0162,0,کمدره,,
wiki-476619-0162,1,،,,
wiki-476619-0162,2,روستایی,,
wiki-476619-0162,3,است,,
wiki-476619-0162,4,از,,
wiki-476619-0162,5,توابع,,
wiki-476619-0162,6,بخش,,
wiki-476619-0162,7,دشت‌سر,,
wiki-476619-0162,8,شهرستان,,
wiki-476619-0162,9,آمل,,
wiki-476619-0162,10,در,,
wiki-476619-0162,11,استان,,
wiki-476619-0162,12,مازندران,,
wiki-476619-0162,13,ایران,,
wiki-476619-0162,14,.,,
wiki-4102263-0101,,این مجموعه در ۴۲ قسمت ۵۰ دقیقه‌ای تهیه شد.,,
wiki-4102263-0101,0,این,,
wiki-4102263-0101,1,مجموعه,,
wiki-4102263-0101,2,در,,
wiki-4102263-0101,3,۴۲,,
wiki-4102263-0101,4,قسمت,,
wiki-4102263-0101,5,۵۰,,
wiki-4102263-0101,6,دقیقه‌ای,,
wiki-4102263-0101,7,تهیه,,
wiki-4102263-0101,8,شد,,
wiki-4102263-0101,9,.,,
web-0057,,مجله‌ی اینترنتی اُکالا | بیشتر به زندگیت برس جستجو...,,
web-0057,0,مجله‌ی,,
web-0057,1,اینترنتی,,
web-0057,2,اُکالا,,
web-0057,3,|,,
web-0057,4,بیشتر,,
web-0057,5,به,,
web-0057,6,زندگیت,,
web-0057,7,برس,,
web-0057,8,جستجو,,
web-0057,9,.,,
web-0057,10,.,,
web-0057,11,.,,
ecom-digikala-0002,,محصولات این برند ریشه‌ای ایتالیایی دارند و از پوشش‌های داخلی نچسب بهره می‌برند.,,
ecom-digikala-0002,0,محصولات,,
ecom-digikala-0002,1,این,,
ecom-digikala-0002,2,برند,,
ecom-digikala-0002,3,ریشه‌ای,,
ecom-digikala-0002,4,ایتالیایی,,
ecom-digikala-0002,5,دارند,,
ecom-digikala-0002,6,و,,
ecom-digikala-0002,7,از,,
ecom-digikala-0002,8,پوشش‌های,,
ecom-digikala-0002,9,داخلی,,
ecom-digikala-0002,10,نچسب,,
ecom-digikala-0002,11,بهره,,
ecom-digikala-0002,12,می‌برند,,
ecom-digikala-0002,13,.,,
web-0062,,(برنامه غذایی روزانه چهارشنبه ۴ مهر) 3 مهر 1403 ناهار امروزتان چه باشد؟,,
web-0062,0,(,,
web-0062,1,برنامه,,
web-0062,2,غذایی,,
web-0062,3,روزانه,,
web-0062,4,چهارشنبه,,
web-0062,5,۴,,
web-0062,6,مهر,,
web-0062,7,),,
web-0062,8,3,,
web-0062,9,مهر,,
web-0062,10,1403,,
web-0062,11,ناهار,,
web-0062,12,امروزتان,,
web-0062,13,چه,,
web-0062,14,باشد,,
web-0062,15,؟,,
web-0037,,فاصله واقعی بین یک آماتور و بسکتبالیست NBA چقدر است؟,,
web-0037,0,فاصله,,
web-0037,1,واقعی,,
web-0037,2,بین,,
web-0037,3,یک,,
web-0037,4,آماتور,,
web-0037,5,و,,
web-0037,6,بسکتبالیست,,
web-0037,7,NBA,,
web-0037,8,چقدر,,
web-0037,9,است,,
web-0037,10,؟,,
ecom-emalls-0002,,پنل فروشگاه‌ من ثبت فروشگاه جدید پشتیبانی info@emalls.ir ایمالز ایمالز چه کمکی میکند؟,,
ecom-emalls-0002,0,پنل,,
ecom-emalls-0002,1,فروشگاه,,
ecom-emalls-0002,2,‌,,
ecom-emalls-0002,3,من,,
ecom-emalls-0002,4,ثبت,,
ecom-emalls-0002,5,فروشگاه,,
ecom-emalls-0002,6,جدید,,
ecom-emalls-0002,7,پشتیبانی,,
ecom-emalls-0002,8,info@emalls.ir,,
ecom-emalls-0002,9,ایمالز,,
ecom-emalls-0002,10,ایمالز,,
ecom-emalls-0002,11,چه,,
ecom-emalls-0002,12,کمکی,,
ecom-emalls-0002,13,میکند,,
ecom-emalls-0002,14,؟,,
web-0007,,| تک‌تاک کورش چایچی | 7 روز قبل چرا همه چیز فقط گرون میشه؟,,
web-0007,0,|,,
web-0007,1,تک‌تاک,,
web-0007,2,کورش,,
web-0007,3,چایچی,,
web-0007,4,|,,
web-0007,5,7,,
web-0007,6,روز,,
web-0007,7,قبل,,
web-0007,8,چرا,,
web-0007,9,همه,,
web-0007,10,چیز,,
web-0007,11,فقط,,
web-0007,12,گرون,,
web-0007,13,میشه,,
web-0007,14,؟,,
web-0005,,تریلر با نمایشی بزرگ از شخصیت‌های «ایک ...,,
web-0005,0,تریلر,,
web-0005,1,با,,
web-0005,2,نمایشی,,
web-0005,3,بزرگ,,
web-0005,4,از,,
web-0005,5,شخصیت‌های,,
web-0005,6,«,,
web-0005,7,ایک,,
web-0005,8,.,,
web-0005,9,.,,
web-0005,10,.,,
ecom-modiseh-0006,,پیراهن های مردانه دارای تنوع بسیار زیادی از لحاظ رنگ، طرح، جنس و مدل هستند.,,
ecom-modiseh-0006,0,پیراهن,,
ecom-modiseh-0006,1,های,,
ecom-modiseh-0006,2,مردانه,,
ecom-modiseh-0006,3,دارای,,
ecom-modiseh-0006,4,تنوع,,
ecom-modiseh-0006,5,بسیار,,
ecom-modiseh-0006,6,زیادی,,
ecom-modiseh-0006,7,از,,
ecom-modiseh-0006,8,لحاظ,,
ecom-modiseh-0006,9,رنگ,,
ecom-modiseh-0006,10,،,,
ecom-modiseh-0006,11,طرح,,
ecom-modiseh-0006,12,،,,
ecom-modiseh-0006,13,جنس,,
ecom-modiseh-0006,14,و,,
ecom-modiseh-0006,15,مدل,,
ecom-modiseh-0006,16,هستند,,
ecom-modiseh-0006,17,.,,
web-0030,,اتهام قلعه‌نویی به کسانی که وعده‌هایش را باور کردند؛ نیوزیلند را نبردید، منتقدان بی‌وطن شدند!,,
web-0030,0,اتهام,,
web-0030,1,قلعه‌نویی,,
web-0030,2,به,,
web-0030,3,کسانی,,
web-0030,4,که,,
web-0030,5,وعده‌هایش,,
web-0030,6,را,,
web-0030,7,باور,,
web-0030,8,کردند,,
web-0030,9,؛,,
web-0030,10,نیوزیلند,,
web-0030,11,را,,
web-0030,12,نبردید,,
web-0030,13,،,,
web-0030,14,منتقدان,,
web-0030,15,بی‌وطن,,
web-0030,16,شدند,,
web-0030,17,!,,
web-0035,,چرا سی‌ ام پانک برنمی‌گردد؟,,
web-0035,0,چرا,,
web-0035,1,سی‌,,
web-0035,2,ام,,
web-0035,3,پانک,,
web-0035,4,برنمی‌گردد,,
web-0035,5,؟,,
web-0018,,Perplexity Assistant به‌عنوان موتور جستجوی هوش مصنوعی این دستگاه عمل می‌کند.,,
web-0018,0,Perplexity,,
web-0018,1,Assistant,,
web-0018,2,به‌عنوان,,
web-0018,3,موتور,,
web-0018,4,جستجوی,,
web-0018,5,هوش,,
web-0018,6,مصنوعی,,
web-0018,7,این,,
web-0018,8,دستگاه,,
web-0018,9,عمل,,
web-0018,10,می‌کند,,
web-0018,11,.,,
web-0077,,کاربرد رودیم در صنایع مختلف ۲ روز قبل امکان شرکت حضوری در آزمون‌های ماز!,,
web-0077,0,کاربرد,,
web-0077,1,رودیم,,
web-0077,2,در,,
web-0077,3,صنایع,,
web-0077,4,مختلف,,
web-0077,5,۲,,
web-0077,6,روز,,
web-0077,7,قبل,,
web-0077,8,امکان,,
web-0077,9,شرکت,,
web-0077,10,حضوری,,
web-0077,11,در,,
web-0077,12,آزمون‌های,,
web-0077,13,ماز,,
web-0077,14,!,,
web-0078,,۲ روز قبل جدیدترین قیمت‌ها در بازار ران و فیله کیلویی چند شد؟,,
web-0078,0,۲,,
web-0078,1,روز,,
web-0078,2,قبل,,
web-0078,3,جدیدترین,,
web-0078,4,قیمت‌ها,,
web-0078,5,در,,
web-0078,6,بازار,,
web-0078,7,ران,,
web-0078,8,و,,
web-0078,9,فیله,,
web-0078,10,کیلویی,,
web-0078,11,چند,,
web-0078,12,شد,,
web-0078,13,؟,,
web-0009,,ثبت نظر نظر شما با موفقیت ثبت شد.,,
web-0009,0,ثبت,,
web-0009,1,نظر,,
web-0009,2,نظر,,
web-0009,3,شما,,
web-0009,4,با,,
web-0009,5,موفقیت,,
web-0009,6,ثبت,,
web-0009,7,شد,,
web-0009,8,.,,
ecom-basalam-0000,,باسلام دقیقا همین حس رو بهت می‌ده!,,
ecom-basalam-0000,0,باسلام,,
ecom-basalam-0000,1,دقیقا,,
ecom-basalam-0000,2,همین,,
ecom-basalam-0000,3,حس,,
ecom-basalam-0000,4,رو,,
ecom-basalam-0000,5,بهت,,
ecom-basalam-0000,6,می‌ده,,
ecom-basalam-0000,7,!,,
web-0068,,| ویدئو فیلم خبری سلفی در مراسم تشییع؛ مشکل مردم‌اند یا برگزارکنندگان؟,,
web-0068,0,|,,
web-0068,1,ویدئو,,
web-0068,2,فیلم,,
web-0068,3,خبری,,
web-0068,4,سلفی,,
web-0068,5,در,,
web-0068,6,مراسم,,
web-0068,7,تشییع,,
web-0068,8,؛,,
web-0068,9,مشکل,,
web-0068,10,مردم‌اند,,
web-0068,11,یا,,
web-0068,12,برگزارکنندگان,,
web-0068,13,؟,,
ecom-basalam-0002,,یه بازار اینترنتی که مستقیم تو رو به فروشنده‌های واقعی وصل می‌کنه.,,
ecom-basalam-0002,0,یه,,
ecom-basalam-0002,1,بازار,,
ecom-basalam-0002,2,اینترنتی,,
ecom-basalam-0002,3,که,,
ecom-basalam-0002,4,مستقیم,,
ecom-basalam-0002,5,تو,,
ecom-basalam-0002,6,رو,,
ecom-basalam-0002,7,به,,
ecom-basalam-0002,8,فروشنده‌های,,
ecom-basalam-0002,9,واقعی,,
ecom-basalam-0002,10,وصل,,
ecom-basalam-0002,11,می‌کنه,,
ecom-basalam-0002,12,.,,
web-0063,,ایده‌هایی که نمی‌توانید رد کنید!,,
web-0063,0,ایده‌هایی,,
web-0063,1,که,,
web-0063,2,نمی‌توانید,,
web-0063,3,رد,,
web-0063,4,کنید,,
web-0063,5,!,,
ecom-basalam-0003,,نمایش بیشتر همه‌ حقوق برای بازار «باسلام» است.,,
ecom-basalam-0003,0,نمایش,,
ecom-basalam-0003,1,بیشتر,,
ecom-basalam-0003,2,همه‌,,
ecom-basalam-0003,3,حقوق,,
ecom-basalam-0003,4,برای,,
ecom-basalam-0003,5,بازار,,
ecom-basalam-0003,6,«,,
ecom-basalam-0003,7,باسلام,,
ecom-basalam-0003,8,»,,
ecom-basalam-0003,9,است,,
ecom-basalam-0003,10,.,,
web-0019,,Google Cloud AI امکان شناسایی اشیا با دوربین و ترجمه سریع متون را فراهم می‌کند.,,
web-0019,0,Google,,
web-0019,1,Cloud,,
web-0019,2,AI,,
web-0019,3,امکان,,
web-0019,4,شناسایی,,
web-0019,5,اشیا,,
web-0019,6,با,,
web-0019,7,دوربین,,
web-0019,8,و,,
web-0019,9,ترجمه,,
web-0019,10,سریع,,
web-0019,11,متون,,
web-0019,12,را,,
web-0019,13,فراهم,,
web-0019,14,می‌کند,,
web-0019,15,.,,
web-0000,,۲ روز قبل تریلر فیلم «رزیدنت اویل» حال‌وهوای بازی ...,,
web-0000,0,۲,,
web-0000,1,روز,,
web-0000,2,قبل,,
web-0000,3,تریلر,,
web-0000,4,فیلم,,
web-0000,5,«,,
web-0000,6,رزیدنت,,
web-0000,7,اویل,,
web-0000,8,»,,
web-0000,9,حال‌وهوای,,
web-0000,10,بازی,,
web-0000,11,.,,
web-0000,12,.,,
web-0000,13,.,,
web-0025,,ساعت خوش‌خیالی لیورپول؛ ایرائولا با چه چیزی قرار است بجنگد؟,,
web-0025,0,ساعت,,
web-0025,1,خوش‌خیالی,,
web-0025,2,لیورپول,,
web-0025,3,؛,,
web-0025,4,ایرائولا,,
web-0025,5,با,,
web-0025,6,چه,,
web-0025,7,چیزی,,
web-0025,8,قرار,,
web-0025,9,است,,
web-0025,10,بجنگد,,
web-0025,11,؟,,
ecom-emalls-0001,,با ایمالز، همیشه از بهترین قیمت‌ها و واقعی‌ترین پیشنهادهای بازار مطلع باشید.,,
ecom-emalls-0001,0,با,,
ecom-emalls-0001,1,ایمالز,,
ecom-emalls-0001,2,،,,
ecom-emalls-0001,3,همیشه,,
ecom-emalls-0001,4,از,,
ecom-emalls-0001,5,بهترین,,
ecom-emalls-0001,6,قیمت‌ها,,
ecom-emalls-0001,7,و,,
ecom-emalls-0001,8,واقعی‌ترین,,
ecom-emalls-0001,9,پیشنهادهای,,
ecom-emalls-0001,10,بازار,,
ecom-emalls-0001,11,مطلع,,
ecom-emalls-0001,12,باشید,,
ecom-emalls-0001,13,.,,
web-0079,,۲ روز قبل قیمت جدید مرغ و بوقلمون در بازار؛ مرغ کیلویی چند شد؟,,
web-0079,0,۲,,
web-0079,1,روز,,
web-0079,2,قبل,,
web-0079,3,قیمت,,
web-0079,4,جدید,,
web-0079,5,مرغ,,
web-0079,6,و,,
web-0079,7,بوقلمون,,
web-0079,8,در,,
web-0079,9,بازار,,
web-0079,10,؛,,
web-0079,11,مرغ,,
web-0079,12,کیلویی,,
web-0079,13,چند,,
web-0079,14,شد,,
web-0079,15,؟,,
